type|title|director|cast|country|date_added|release_year|rating|duration|listed_in
Movie|Clair Obscur|Yesim Ustaoglu|Funda Eryiğit, Ecem Uzun, Mehmet Kurtulus, Okan Yalabik, Serkan Keskin, Sema Poyraz|Turkey, France, Germany, Poland|13/10/2017|2016|TV-MA|102 min|Dramas, International Movies
Movie|El Especial de Alex Fernández, el Especial|Jan Suter|Alex Fernández|Mexico|13/10/2017|2017|TV-MA|52 min|Stand-Up Comedy
Movie|Kingdom of Us|Lucy Cohen||United Kingdom|13/10/2017|2017|TV-MA|110 min|Documentaries
Movie|The Babysitter|McG|Samara Weaving, Hana Mae Lee, Judah Lewis, Robbie Amell, Bella Thorne, Andrew Bachelor, Emily Alyn Lind, Leslie Bibb, Ken Marino|United States|13/10/2017|2017|TV-MA|85 min|Comedies, Horror Movies
Movie|The Meyerowitz Stories (New and Selected)|Noah Baumbach|Adam Sandler, Ben Stiller, Dustin Hoffman, Elizabeth Marvel, Grace Van Patten, Emma Thompson, Candice Bergen, Rebecca Miller, Danny Flaherty, Sakina Jaffrey, Adam David Thompson|United States|13/10/2017|2017|TV-MA|113 min|Comedies, Dramas, Independent Movies
Movie|Mascots|Christopher Guest|Carrie Aizley, Sarah Baker, Bob Balaban, Ed Begley Jr., Tom Bennett, Maria Blasucci, Jennifer Coolidge, Kerry Godliman, Matt Griesser, Christopher Guest, John Michael Higgins, Michael Hitchcock, Don Lake, Jane Lynch, Christopher Moynihan, Chris O'Dowd, Jim Piddock, Parker Posey, Harry Shearer, Fred Willard, Zach Woods, Susan Yeagley|United States|13/10/2016|2016|TV-MA|95 min|Comedies
Movie|Apostle|Gareth Evans|Dan Stevens, Lucy Boynton, Michael Sheen, Mark Lewis Jones, Bill Milner, Kristine Froseth, Paul Higgins, Richard Elfyn, Elen Rhys, Ross O'Hennessy|United Kingdom, United States|12/10/2018|2018|TV-MA|130 min|Horror Movies, International Movies, Thrillers
TV Show|Black Heart||Barış Kılıç, Tuvana Türkay, Serhat Tutumluer, Gülçin Santırcıoğlu, Kenan Bal|Turkey|12/10/2018|2014|TV-14|1 Season|Crime TV Shows, International TV Shows, TV Dramas
Movie|Errementari: The Blacksmith and the Devil|Paul Urkijo Alijo|Kandido Uranga, Uma Bracaglia, Eneko Sagardoy, Ramón Agirre, Josean Bengoetxea, Gotzon Sánchez, José Ramón Argoitia, Gorka Aguinagalde, Iñigo de la Iglesia, Aitor Urtzelai|Spain, France|12/10/2018|2018|TV-MA|99 min|Horror Movies, International Movies, Sci-Fi & Fantasy
Movie|Feminists: What Were They Thinking?|Johanna Demetrakas||United States|12/10/2018|2018|TV-MA|86 min|Documentaries, LGBTQ Movies
TV Show|FIGHTWORLD|Padraic McKinley|Frank Grillo||12/10/2018|2018|TV-MA|1 Season|Docuseries
Movie|Kuntilanak|Rizal Mantovani|Sandrinna M Skornicki, Aurélie Moeremans, Fero Walandouw, Andryan Bima, Ciara Nadine Brosnan, Ali Fikry, Adlu Fahrezy, Nena Rosier, Naufal Ho, Aqi Singgih|Indonesia|12/10/2018|2018|TV-14|106 min|Horror Movies, International Movies
Movie|ReMastered: Who Shot the Sheriff|Kief Davidson||United States|12/10/2018|2018|TV-14|57 min|Documentaries, Music & Musicals
TV Show|The Curious Creations of Christine McConnell||Christine McConnell, Colleen Smith, Adam Mayfield, Michael Oosterom, Drew Massey, Mick Ignis, Tim Lagasse, Dita von Teese, Steven M. Porter, Elko Weaver||12/10/2018|2018|TV-PG|1 Season|TV Comedies, TV Mysteries
TV Show|The Haunting of Hill House||Michiel Huisman, Carla Gugino, Timothy Hutton, Henry Thomas, Elizabeth Reaser, Oliver Jackson-Cohen, Kate Siegel, Victoria Pedretti, Lulu Wilson, Mckenna Grace, Paxton Singleton, Julian Hilliard, Violet McGraw|United States|12/10/2018|2018|TV-MA|1 Season|TV Dramas, TV Horror, TV Mysteries
Movie|The Kindergarten Teacher|Sara Colangelo|Maggie Gyllenhaal, Parker Sevak, Gael García Bernal, Michael Chernus, Anna Baryshnikov, Rosa Salazar, Ajay Naidu|United States, Israel, United Kingdom, Canada|12/10/2018|2018|R|97 min|Dramas, Independent Movies
Movie|Barakah Meets Barakah|Mahmoud Sabbagh|Hisham Fageeh, Fatima Al-Banawi, Sami Hifny, Khairia Nazmi, Abdulmajeed Al-Ruhaidi|Saudi Arabia|12/10/2017|2016|TV-14|88 min|Comedies, International Movies, Romantic Movies
Movie|Bomb Scared|Borja Cobeaga|Javier Cámara, Julián López, Miren Ibarguren, Gorka Otxoa, Tina Sáinz, Ramón Barea|Spain|12/10/2017|2017|TV-MA|89 min|Comedies, Independent Movies, International Movies
Movie|Justin Timberlake + the Tennessee Kids|Jonathan Demme|Justin Timberlake|United States|12/10/2016|2016|TV-PG|90 min|Music & Musicals
Movie|Iron Man & Captain America: Heroes United|Leo Riley|Adrian Pasdar, Roger Craig Smith, Fred Tatasciore, David Kaye, Clancy Brown, Liam O'Brien, Robin Atkin Downes, Dee Bradley Baker|United States|12/10/2014|2014|PG|71 min|Children & Family Movies, Sci-Fi & Fantasy
Movie|Bygones Be Bygones|Hakan Algül|Ata Demirer, Tuvana Türkay, Ülkü Duru, Salih Kalyon, Renan Bilek, Seda Güven, Toprak Sergen, Ali Yoğurtçuoğlu, Bedir Bedir, Gümeç Alpay Aslan|Turkey|11/10/2019|2017|TV-MA|104 min|Comedies, International Movies, Romantic Movies
Movie|El Camino: A Breaking Bad Movie|Vince Gilligan|Aaron Paul|United States|11/10/2019|2019|TV-MA|123 min|Dramas, Thrillers
Movie|Fractured|Brad Anderson|Sam Worthington, Lily Rabe, Stephen Tobolowsky, Adjoa Andoh, Lucy Capri, Lauren Cochrane, Shane Dean|United States|11/10/2019|2019|TV-MA|100 min|Thrillers
Movie|The Bling Lagosians|Bolanle Austen-Peters|Gbenga Titiloye, Elvina Ibru, Sharon Ooja, Osas Ighodaro Ajibade, Monalisa Chinda, Toyin Abraham, Bisola Aiyeola, Oladele Ogunlana, Jimmy Odukoya, Alex Ekubo|Nigeria|11/10/2019|2019|TV-14|99 min|Dramas, International Movies
Movie|The Forest of Love|Sion Sono|Kippei Shiina, Shinnosuke Mitsushima, Kyooko Hinami, Eri Kamataki, Young Dais, Natsuki Kawamura, Yuzuka Nakaya, Dai Hasegawa, Chiho Fujii, Sei Matobu, Denden|Japan|11/10/2019|2019|TV-MA|151 min|Dramas, International Movies, Thrillers
Movie|The Influence|Dennis Rovira van Boekholt|Manuela Vellés, Maggie Civantos, Alain Hernández, Claudia Placer, Daniela Rubio, Emma Suárez, Ramón Esquinas, Felipe García Vélez, Mariana Cordero|Spain, France|11/10/2019|2019|TV-MA|102 min|Horror Movies, International Movies
Movie|Filosofi Kopi The Movie|Angga Dwimas Sasongko|Chicco Jerikho, Rio Dewanto, Julie Estelle, Jajang C. Noer, Slamet Rahardjo, Otig Pakis, Arash Buana, Hazel Raditya, Dimas Harya, Westny Dj|Indonesia|11/10/2018|2015|TV-PG|118 min|Dramas, International Movies
TV Show|Ordinary Heroes||Giorgio Tirabassi, Marco Bocci, Cristiana Capotondi, Greta Scarano, Michela Cescon, Diane Fleri, Carlo Calderone, Claudio Gioè, Romina Mondello, Orlando Cinque, Luigi Maria Burruano, Riccardo Scamarcio, Lorenza Indovina, Ivana Lotito, Pierfrancesco Poggi, Marco Leonardi, Anna Ferruzzo, Peppino Mazzotta, Giorgio Marchesi||11/10/2018|2018|TV-MA|1 Season|Crime TV Shows, International TV Shows, TV Dramas
TV Show|Salt Fat Acid Heat||Samin Nosrat||11/10/2018|2018|TV-PG|1 Season|Docuseries
Movie|اشتباك|Mohamed Diab|Nelly Karim, Hany Adel, Tarek Abdel Aziz, Ahmed Malek, Ahmed Dash, Husni Sheta, Aly Eltayeb, Amr El Kady, Mohamed Abd El Azim, Gameel Barsoum, Ashraf Hamdy|Egypt, France|11/10/2018|2016|TV-14|98 min|Dramas, Independent Movies, International Movies
TV Show|Beyblade Burst Turbo||Laura Stahl, Billy Kametz, Derek Stephen Prince, Kyle McCarley, Brandon Winckler, Kimlinh Tran||10/10/2019|2018|TV-Y7|1 Season|Anime Series, Kids' TV
Movie|GEN HOSHINO STADIUM TOUR “POP VIRUS”|Naoto Amazutsumi|Gen Hoshino||10/10/2019|2019|TV-PG|154 min|International Movies, Music & Musicals
TV Show|Ultramarine Magmell||Kengo Kawanishi, M・A・O, Toshiyuki Morikawa, Hibiku Yamamura, Satoshi Mikami, Koji Yusa, Hiroshi Yanaka, Shiro Saito, Keiichi Sonobe|Japan|10/10/2019|2019|TV-14|1 Season|Anime Series, International TV Shows
Movie|22-Jul|Paul Greengrass|Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith|Norway, Iceland, United States|10/10/2018|2018|R|144 min|Dramas, Thrillers
TV Show|Blood Pact||Guilherme Fontes, Ravel Cabral, Jonathan Haagensen, André Ramiro, Adriano Garib, Mel Lisboa, Cristina Lago|Brazil|10/10/2018|2018|TV-MA|1 Season|Crime TV Shows, International TV Shows, TV Dramas
Movie|Tales From the Hood 2|Rusty Cundieff, Darin Scott|Keith David, Bryan Batt, Alexandria Deberry, Bill Martin Williams, Martin Bats Bradford, Kendrick Cross, Jasmine Akakpo, Kedrick Brown|United States|10/10/2018|2018|R|110 min|Cult Movies, Horror Movies, Independent Movies
Movie|Christina P: Mother Inferior|Jay Karas|Christina Pazsitzky|United States|10/10/2017|2017|TV-MA|59 min|Stand-Up Comedy
TV Show|Nature's Great Events (2009)||David Attenborough|United States, United Kingdom|10/10/2015|2009|TV-PG|1 Season|British TV Shows, Docuseries, Science & Nature TV
TV Show|The Blue Planet: A Natural History of the Oceans|Alastair Fothergill|David Attenborough|United Kingdom|10/10/2015|2001|TV-G|1 Season|British TV Shows, Docuseries, International TV Shows
Movie|Chelsea Handler: Uganda Be Kidding Me Live|James Yukich|Chelsea Handler|United States|10/10/2014|2014|TV-MA|71 min|Stand-Up Comedy
Movie|300 Miles to Heaven|Maciej Dejczer|Krzysztof Stroiński, Andrzej Mellin, Adrianna Biedrzyńska, Adrianna Biedrzyńska, Rafał Zimowski, Kama Kowalewska, Wiesław Komasa, Aleksander Bednarz, Jadwiga Jankowska-Cieslak, Wojciech Klata|Denmark, France, Poland|1/10/2019|1989|TV-14|93 min|Dramas, International Movies
Movie|A.M.I.|Rusty Nixon|Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy, Bonnie Hay, Veronica Hampson, Lori Triolo, Andrew Coghlan, Laura Mitchell, Elinet Louicius|Canada|1/10/2019|2019|TV-MA|77 min|Horror Movies
Movie|Along Came a Spider|Lee Tamahori|Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker, Mika Boorem, Anton Yelchin, Kim Hawthorne, Jay O. Sanders, Billy Burke, Michael Moriarty, Penelope Ann Miller|United States, Germany, Canada|1/10/2019|2001|R|103 min|Thrillers
Movie|Alpha and Omega 2: A Howl-iday Adventure|Richard Rich|Ben Diskin, Kate Higgins, Blackie Rose, Lindsay Torrance, Liza West, Tracy Pfau, Bill Lader, Meryl Leigh, Shaun Gerardo|United States|1/10/2019|2013|TV-G|45 min|Children & Family Movies
Movie|Bad Boys|Michael Bay|Will Smith, Martin Lawrence, Téa Leoni, Tchéky Karyo, Theresa Randle, Joe Pantoliano, Emmanuel Xuereb, Michael Imperioli, Nestor Serrano, Julio Oscar Mechoso|United States|1/10/2019|1995|R|119 min|Action & Adventure, Comedies
Movie|Bad Boys II|Michael Bay|Will Smith, Martin Lawrence, Jordi Mollà, Gabrielle Union, Peter Stormare, Theresa Randle, Joe Pantoliano, Michael Shannon, Jon Seda, Yul Vazquez|United States|1/10/2019|2003|R|147 min|Action & Adventure, Comedies
Movie|Blow|Ted Demme|Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths, Paul Reubens, Jordi Mollà, Cliff Curtis, Miguel Sandoval, Ethan Suplee, Ray Liotta|United States|1/10/2019|2001|R|123 min|Dramas
Movie|Candyman|Bernard Rose|Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams, DeJuan Guy, Michael Culkin, Stanley DeSantis|United States, United Kingdom|1/10/2019|1992|R|99 min|Cult Movies, Horror Movies
Movie|Charlie's Angels|McG|Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt LeBlanc, LL Cool J, Tom Green, Luke Wilson|United States, Germany|1/10/2019|2000|PG-13|98 min|Action & Adventure, Comedies
Movie|Charlie's Angels: Full Throttle|McG|Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese|United States|1/10/2019|2003|PG-13|106 min|Action & Adventure, Comedies
TV Show|Cheese in the Trap|Lee Yoon-jung|Park Hae-Jin, Kim Go-eun, Seo Kang-jun, Lee Sung-kyoung, Nam Joo-hyuk, Park Min-ji, Hwang Seog-jeong, Son Byung-ho, Ahn Kil-kang|South Korea|1/10/2019|2016|TV-14|1 Season|International TV Shows, Korean TV Shows, Romantic TV Shows
TV Show|Chicago Typewriter||Yoo Ah-in, Im Soo-jung, Ko Kyoung-pyo, Kwak Si-yang, Jo Woo-jin, Yang Jin-sung, Jeon Soo-kyeong, Ji Dae-han, Chun Ho-jin|South Korea|1/10/2019|2017|TV-14|1 Season|International TV Shows, Korean TV Shows, Romantic TV Shows
TV Show|College Romance||Manjot Singh, Apoorva Arora, Keshav Sadhna, Shreya Mehta, Hira Ashar, Gagan Arora|India|1/10/2019|2018|TV-MA|1 Season|International TV Shows, Romantic TV Shows, TV Comedies
Movie|Crash|Paul Haggis|Sandra Bullock, Don Cheadle, Matt Dillon, Jennifer Esposito, William Fichtner, Brendan Fraser, Terrence Howard, Ludacris, Thandie Newton, Ryan Phillippe, Larenz Tate, Nona Gaye, Michael Peña|United States, Germany|1/10/2019|2004|R|112 min|Dramas, Independent Movies
Movie|Dumb and Dumberer: When Harry Met Lloyd|Troy Miller|Eric Christian Olsen, Derek Richardson, Rachel Nichols, Cheri Oteri, Luis Guzmán, Elden Henson, William Lee Scott, Mimi Rogers, Eugene Levy|United States|1/10/2019|2003|PG-13|85 min|Comedies
Movie|Earth to Echo|Dave Green|Teo Halm, Astro, Reese Hartwig, Ella Wahlestedt, Jason Gray-Stanford, Algee Smith, Cassius Willis, Sonya Leslie, Kerry O'Malley, Virginia Louise Smith, Peter Mackenzie, Valerie Wildman|United States|1/10/2019|2014|PG|91 min|Children & Family Movies, Sci-Fi & Fantasy
TV Show|Engineering Girls||Barkha Singh, Kritika Avasthi, Sejal Kumar|India|1/10/2019|2018|TV-14|1 Season|International TV Shows, TV Comedies
Movie|"Escape from the ""Liberty"" Cinema"|Wojciech Marczewski|Janusz Gajos, Zbigniew Zamachowski, Teresa Marczewska, Piotr Fronczewski, Władysław Kowalski, Michał Bajor, Jan Peszek, Jerzy Bińczycki|Poland|1/10/2019|1990|TV-MA|88 min|Comedies, Dramas, Independent Movies
Movie|Exit Wounds|Andrzej Bartkowiak|Steven Seagal, DMX, Isaiah Washington, Anthony Anderson, Michael Jai White, Bill Duke, Jill Hennessy, Tom Arnold, Bruce McGill, David Vadim, Eva Mendes|United States|1/10/2019|2001|R|101 min|Action & Adventure
Movie|First Kiss|Roy Poortmans|Vajèn van den Bosch, Buddy Vedder, Leontine Borsato, Caroline de Bruijn, Stijn Fransen, Marije Zuurveld|Netherlands|1/10/2019|2018|TV-PG|90 min|Dramas, International Movies, Romantic Movies
TV Show|Girls Hostel||Srishti Shrivastava, Parul Gulati, Simran Natekar, Ahsaas Channa, Shreya Mehta, Gagan Arora, Trupti Khamkar, Khushbu Baid|India|1/10/2019|2018|TV-MA|1 Season|International TV Shows, TV Comedies, TV Dramas
Movie|Good Burger|Brian Robbins|Kenan Thompson, Kel Mitchell, Abe Vigoda, Dan Schneider, Shar Jackson, Jan Schweiterman, Linda Cardellini, Sinbad, Ron Lester, Josh Server, Ginny Schreiber|United States|1/10/2019|1997|PG|96 min|Children & Family Movies, Comedies
Movie|Good Luck Chuck|Mark Helfrich|Dane Cook, Jessica Alba, Dan Fogler, Ellia English, Sasha Pieterse, Annie Wood, Lonny Ross, Chelan Simmons, Simone Bailly, Jodelle Ferland, Crystal Lowe, Troy Gentile, Georgia Craig, Michelle Harrison, Chiara Zanni|United States, Canada|1/10/2019|2007|UR|99 min|Comedies, Romantic Movies
Movie|Harold & Kumar Escape from Guantanamo Bay|Jon Hurwitz, Hayden Schlossberg|John Cho, Kal Penn, Rob Corddry, Jack Conley, Roger Bart, Neil Patrick Harris, Danneel Ackles, Eric Winter, Paula Garcés, Jon Reep, Missi Pyle|United States|1/10/2019|2008|R|101 min|Comedies, Cult Movies
Movie|Honey 2|Bille Woodruff|Kat Graham, Mario Lopez, Audrina Patridge, Seychelle Gabriel, Randy Wayne, Brandon Molale, Melissa Molinaro, Jossara Jinaro, Lonette McKee, Laurieann Gibson, Christopher Shazar|United States|1/10/2019|2011|PG-13|111 min|Dramas, Romantic Movies
Movie|Hotel Pacific|Janusz Majewski|Marek Kondrat, Roman Wilhelmi, Roman Skamene, Čestmír Řanda, Michał Pawlicki, Martin Hron, Stanisława Celińska, Joanna Kasperska, Jaroslava Schallerová|Poland,|1/10/2019|1975|TV-MA|96 min|Classic Movies, Dramas, International Movies
Movie|House of the Witch|Alex Merkin|Emily Bader, Darren Mann, Michelle Randolph, Coy Stewart, Jesse Pepe, Arden Belle, Joel Nagle, Nolan Bateman|United States|1/10/2019|2017|TV-14|86 min|Horror Movies
TV Show|Inmates||Kashyap Kapoor, Ashish Verma, Raghav Raj Kakker, Mukti Mohan, Akanksha Thakur|India|1/10/2019|2017|TV-MA|1 Season|International TV Shows, TV Comedies
Movie|Jealousy and medicine|Janusz Majewski|Mariusz Dmochowski, Ewa Krzyżewska, Włodzimierz Boruński, Andrzej Mrowiec, Józef Rosiński, Piotr Kąkolewski, Beata Nowicka, Edmund Fetting, Grażyna Staniszewska, Andrzej Łapicki|Poland|1/10/2019|1973|TV-MA|97 min|Dramas, International Movies, Romantic Movies
Movie|Knowing|Alex Proyas|Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson, D.G. Maloney, Nadia Townsend, Alan Hopgood, Adrienne Pickering|United States, United Kingdom, Australia|1/10/2019|2009|PG-13|121 min|Sci-Fi & Fantasy, Thrillers
Movie|Limitless|Vrinda Samartha||India|1/10/2019|2017|TV-PG|59 min|Documentaries, International Movies, Sports Movies
Movie|Little Baby Bum: Go Buster||||1/10/2019|2019|TV-Y|58 min|Children & Family Movies
Movie|Medium|Jacek Koprowicz|Władysław Kowalski, Michał Bajor, Jerzy Zelnik, Jerzy Stuhr, Grażyna Szapołowska, Jerzy Nowak, Ewa Dałkowska, Piotr Machalica, Zygmunt Zintel, Henryk Bista|Poland, West Germany|1/10/2019|1985|TV-MA|90 min|Horror Movies, International Movies, Thrillers
Movie|Men in Black II|Barry Sonnenfeld|Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle, Johnny Knoxville, Rosario Dawson, Tony Shalhoub, Patrick Warburton, Jack Kehler, David Cross|United States|1/10/2019|2002|PG-13|88 min|Action & Adventure, Comedies, Sci-Fi & Fantasy
TV Show|Miniforce X|||South Korea|1/10/2019|2018|TV-Y7-FV|1 Season|Kids' TV, Korean TV Shows
Movie|Nikki Glaser: Bangin’|Nicholaus Goossen|Nikki Glaser|United States|1/10/2019|2019|TV-MA|64 min|Stand-Up Comedy
Movie|No Reservations|Scott Hicks|Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin, Patricia Clarkson, Jenny Wade, Bob Balaban, Brían F. O'Byrne, Lily Rabe|United States|1/10/2019|2007|PG|104 min|Comedies, Romantic Movies
Movie|Ocean's Thirteen|Steven Soderbergh|George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Don Cheadle, Bernie Mac, Ellen Barkin, Al Pacino, Casey Affleck, Scott Caan|United States|1/10/2019|2007|PG-13|122 min|Action & Adventure, Comedies
Movie|Ocean's Twelve|Steven Soderbergh|George Clooney, Brad Pitt, Matt Damon, Catherine Zeta-Jones, Andy Garcia, Don Cheadle, Bernie Mac, Julia Roberts, Casey Affleck, Scott Caan|United States|1/10/2019|2004|PG-13|125 min|Action & Adventure, Comedies
Movie|One Direction: This Is Us|Morgan Spurlock|Harry Styles, Niall Horan, Zayn Malik, Louis Tomlinson, Liam Payne|United States|1/10/2019|2013|PG|92 min|Documentaries, Music & Musicals
Movie|Raging Bull|Martin Scorsese|Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto, Theresa Saldana, Mario Gallo, Frank Adonis, Joseph Bono|United States|1/10/2019|1980|R|129 min|Classic Movies, Dramas, Sports Movies
Movie|Rugrats in Paris: The Movie|Stig Bergqvist, Paul Demeyer|Elizabeth Daily, Tara Strong, Cheryl Chase, Christine Cavanaugh, Cree Summer, Kath Soucie, Michael Bell, Tress MacNeille, Casey Kasem, Joe Alaskey, Debbie Reynolds, Jack Riley, Susan Sarandon, John Lithgow|Germany, United States|1/10/2019|2000|G|79 min|Children & Family Movies, Comedies
Movie|Scream 2|Wes Craven|Neve Campbell, David Arquette, Courteney Cox, Sarah Michelle Gellar, Jamie Kennedy, Laurie Metcalf, Elise Neal, Jerry O'Connell, Timothy Olyphant, Jada Pinkett Smith, Liev Schreiber, Lewis Arquette, Duane Martin, Rebecca Gayheart, Portia de Rossi, Omar Epps, Tori Spelling, Heather Graham, Joshua Jackson, Luke Wilson|United States|1/10/2019|1997|R|121 min|Horror Movies
Movie|Senna|Asif Kapadia|Ayrton Senna, Alain Prost, Frank Williams|United Kingdom, France, United States|1/10/2019|2010|PG-13|106 min|Documentaries, International Movies, Sports Movies
TV Show|Signal||Kim Hye-su, Lee Je-hoon, Cho Jin-woong, Jang Hyun-sung, Jeong Hae-gyoon, Kim Won-hae, Jung Han-bi, Lee Yu-jun, Son Hyeon-ju|South Korea|1/10/2019|2016|TV-14|1 Season|Crime TV Shows, International TV Shows, Korean TV Shows
Movie|Sin City|Robert Rodriguez, Frank Miller|Bruce Willis, Mickey Rourke, Jessica Alba, Clive Owen, Rosario Dawson, Benicio Del Toro, Nick Stahl, Elijah Wood, Rutger Hauer, Powers Boothe, Devon Aoki, Alexis Bledel, Josh Hartnett, Jaime King, Brittany Murphy, Michael Clarke Duncan, Michael Madsen|United States|1/10/2019|2005|R|124 min|Action & Adventure
Movie|Sinister Circle|Dorian Fernández-Moris|Milene Vázquez, Matías Raygada, Claudia Dammert, Marcello Rivera, Atilia Boschetti, Hernán Romero, Ismael Contreras, Pietro Sibille, Leslie Shaw|Peru|1/10/2019|2017|TV-MA|87 min|Horror Movies, International Movies
Movie|Supergirl|Jeannot Szwarc|Faye Dunaway, Hart Bochner, Helen Slater, Peter Cook|United Kingdom, United States|1/10/2019|1984|PG|125 min|Action & Adventure, Sci-Fi & Fantasy
Movie|Superman Returns|Bryan Singer|Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden, Parker Posey, Frank Langella, Sam Huntington, Eva Marie Saint, Marlon Brando, Kal Penn|United States|1/10/2019|2006|PG-13|154 min|Action & Adventure, Sci-Fi & Fantasy
Movie|Surf's Up|Ash Brannon, Chris Buck|Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder, James Woods, Diedrich Bader, Mario Cantone, Kelly Slater, Rob Machado, Sal Masekela|United States|1/10/2019|2007|PG|86 min|Children & Family Movies, Comedies, Sports Movies
Movie|The Bounty Hunter|Andy Tennant|Jennifer Aniston, Gerard Butler, Jason Sudeikis, Jeff Garlin, Ritchie Coster, Cathy Moriarty, Peter Greene, Joel Marsh Garland, Siobhan Fallon Hogan, Dorian Missick, Adam Rose, Christine Baranski, Carol Kane, Adam LeFevre|United States|1/10/2019|2010|PG-13|111 min|Action & Adventure, Comedies, Romantic Movies
Movie|The Bucket List|Rob Reiner|Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd, Alfonso Freeman, Rob Morrow, Rowena King, Christopher Stapleton, Ian Anthony Dale, Richard McGonagle|United States|1/10/2019|2007|PG-13|97 min|Comedies, Dramas
Movie|The Cruise|Marek Piwowski|Jan Himilsbach, Stanislaw Tym, Jerzy Dobrowolski, Zdzislaw Maklakiewicz, Andrzej Dobosz, Feridun Erol, Jolanta Lothe, Wanda Stanisławska-Lothe|Poland|1/10/2019|1970|TV-PG|66 min|Comedies, Cult Movies, International Movies
Movie|The Figurine (Araromire)|Kunle Afolayan|Ramsey Nouah, Omoni Oboli, Kunle Afolayan, Funlola Aofiyebi, Tosin Sido, David J. Oserwe, Kate Adepegba, Muraina Oyelami, Wale Adebayo, Ombo Gogo Ombo|Nigeria|1/10/2019|2009|TV-14|121 min|Horror Movies, International Movies, Thrillers
Movie|The Flintstones|Brian Levant|John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O'Donnell, Kyle MacLachlan, Halle Berry, Elizabeth Taylor, Dann Florek, Sam Raimi, Harvey Korman|United States|1/10/2019|1994|PG|91 min|Children & Family Movies, Comedies
Movie|The Flintstones in Viva Rock Vegas|Brian Levant|Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski, Joan Collins, Thomas Gibson, Alan Cumming|United States|1/10/2019|2000|PG|91 min|Children & Family Movies, Comedies, Romantic Movies
TV Show|The K2||Ji Chang-wook, Song Yoon-a, Lim Yoona, Cho Seong-ha, Kim Kap-soo, Lee Jung-jin, Son Tae-young, Shin Dong-mi|South Korea|1/10/2019|2016|TV-14|1 Season|International TV Shows, Korean TV Shows, Romantic TV Shows
TV Show|The Liar and His Lover||Lee Hyun-woo, Joy, Lee Jung-jin, Lee Seo-won, Hong Seo-young, Choi Min-soo, Lim Ye-jin, Jang Ki-yong, Song Kang, Park Ji-young|South Korea|1/10/2019|2017|TV-PG|1 Season|International TV Shows, Korean TV Shows, Romantic TV Shows
Movie|The lynx|Stanisław Różewicz|Jerzy Radziwiłowicz, Franciszek Pieczka, Piotr Bajor, Ryszarda Hanin, Janusz Paluszkiewicz, Henryk Machalica, Hanna Mikuć, Maria Klejdysz|Poland|1/10/2019|1982|TV-14|82 min|Dramas, International Movies
Movie|The Pursuit of Happyness|Gabriele Muccino|Will Smith, Jaden Smith, Thandie Newton, Brian Howe, James Karen, Dan Castellaneta, Kurt Fuller, Takayo Fischer|United States|1/10/2019|2006|PG-13|117 min|Dramas
Movie|The Rugrats Movie|Igor Kovalyov, Norton Virgien|Elizabeth Daily, Christine Cavanaugh, Kath Soucie, Melanie Chartoff, Phil Proctor, Cree Summer, Cheryl Chase, Tara Strong, Jack Riley, Joe Alaskey, Michael Bell, Tress MacNeille, Busta Rhymes, Whoopi Goldberg, David Spade|United States|1/10/2019|1998|G|81 min|Children & Family Movies, Comedies
Movie|The spiral|Krzysztof Zanussi|Jan Nowicki, Maja Komorowska, Zofia Kucówna, Aleksander Bardini, Jan Świderski, Seweryna Broniszówna, Piotr Garlicki, Marian Glinka|Poland|1/10/2019|1978|TV-MA|84 min|Dramas, Independent Movies, International Movies
Movie|The Squid and the Whale|Noah Baumbach|Jeff Daniels, Laura Linney, Jesse Eisenberg, Owen Kline, William Baldwin, Halley Feiffer, Anna Paquin, Ken Leung, David Benger, Adam Rose|United States|1/10/2019|2005|R|81 min|Comedies, Dramas, Independent Movies
